Task ID,difficulty,pearl_level,novelty,quality_score,passes_hash
0.80.0,0.0,1,0.28705928,0.15741185694932935,False
0.80.1,0.0,1,0.28705928,0.15741185694932935,False
0.80.2,0.0,1,0.28705928,0.15741185694932935,False
0.80.3,0.0,1,0.28705928,0.15741185694932935,False
0.80.4,0.0,1,0.28705928,0.15741185694932935,False
0.81.0,0.0,1,0.5184262,0.20368523746728895,False
0.81.1,0.0,1,0.51842666,0.2036853343248367,False
0.81.2,0.0,1,0.51842666,0.2036853343248367,False
0.81.3,0.0,1,0.51842666,0.2036853343248367,False
0.81.4,0.0,1,0.51842666,0.2036853343248367,False
0.82.0,0.0,1,0.39389026,0.17877805083990095,False
0.82.1,0.0,1,0.39389026,0.17877805083990095,False
0.82.2,0.0,1,0.39389026,0.17877805083990095,False
0.82.3,0.0,1,0.39389026,0.17877805083990095,False
0.82.4,0.0,1,0.39389026,0.17877805083990095,False
0.83.0,0.0,1,0.12100507,0.1242010150104761,False
0.83.1,0.0,1,0.12100507,0.1242010150104761,False
0.83.2,0.0,1,0.12100507,0.1242010150104761,False
0.83.3,0.0,1,0.12100507,0.1242010150104761,False
0.83.4,0.0,1,0.12100507,0.1242010150104761,False
0.84.0,0.0,1,0.39438727,0.1788774564862251,False
0.84.1,0.0,1,0.39438727,0.1788774564862251,False
0.84.2,0.0,1,0.39438727,0.1788774564862251,False
0.84.3,0.0,1,0.39438727,0.1788774564862251,False
0.84.4,0.0,1,0.39438727,0.1788774564862251,False
0.85.0,0.0,1,0.38480827,0.1769616588950157,False
0.85.1,0.0,1,0.38480827,0.1769616588950157,False
0.85.2,0.0,1,0.38480827,0.1769616588950157,False
0.85.3,0.0,1,0.38480827,0.1769616588950157,False
0.85.4,0.0,1,0.38480827,0.1769616588950157,False
0.86.0,0.0,1,0.47926602,0.19585320204496381,False
0.86.1,0.0,1,0.47926602,0.19585320204496381,False
0.86.2,0.0,1,0.47926602,0.19585320204496381,False
0.86.3,0.0,1,0.47926602,0.19585320204496381,False
0.86.4,0.0,1,0.47926602,0.19585320204496381,False
0.87.0,0.0,1,0.3474381,0.16948762387037275,False
0.87.1,0.0,1,0.34743994,0.169487988948822,False
0.87.2,0.0,1,0.3474381,0.16948762387037275,False
0.87.3,0.0,1,0.3474381,0.16948762387037275,False
0.87.4,0.0,1,0.3474381,0.16948762387037275,False
0.88.0,0.0,1,0.439752,0.1879504010081291,False
0.88.1,0.0,1,0.439752,0.1879504010081291,False
0.88.2,0.0,1,0.439752,0.1879504010081291,False
0.88.3,0.0,1,0.439752,0.1879504010081291,False
0.88.4,0.0,1,0.439752,0.1879504010081291,False
0.89.0,0.0,1,0.2793794,0.15587587878108022,False
0.89.1,0.0,1,0.2793794,0.15587587878108022,False
0.89.2,0.0,1,0.2793794,0.15587587878108022,False
0.89.3,0.0,1,0.2793794,0.15587587878108022,False
0.89.4,0.0,1,0.2793794,0.15587587878108022,False
0.90.0,0.0,1,0.24410762,0.1488215237855911,False
0.90.1,0.0,1,0.24410762,0.1488215237855911,False
0.90.2,0.0,1,0.24410714,0.14882143065333364,False
0.90.3,0.0,1,0.24410762,0.1488215237855911,False
0.90.4,0.0,1,0.24410714,0.14882143065333364,False
0.91.0,0.0,1,0.3882191,0.17764381915330885,False
0.91.1,0.0,1,0.3882191,0.17764381915330885,False
0.91.2,0.0,1,0.3882191,0.17764381915330885,False
0.91.3,0.0,1,0.3882191,0.17764381915330885,False
0.91.4,0.0,1,0.3882191,0.17764381915330885,False
0.92.0,0.0,1,0.286505,0.15730100348591802,False
0.92.1,0.0,1,0.286505,0.15730100348591802,False
0.92.2,0.0,1,0.286505,0.15730100348591802,False
0.92.3,0.0,1,0.286505,0.15730100348591802,False
0.92.4,0.0,1,0.286505,0.15730100348591802,False
0.93.0,0.0,1,0.3292375,0.16584750115871427,False
0.93.1,0.0,1,0.3292375,0.16584750115871427,False
0.93.2,0.0,1,0.3292375,0.16584750115871427,False
0.93.3,0.0,1,0.3292375,0.16584750115871427,False
0.93.4,0.0,1,0.3292375,0.16584750115871427,False
